,campaignId,usercountry,device,count,sum
0,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,AR,ANDROID,2,0
1,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,AU,ANDROID,2,0
2,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,BE,ANDROID,1,0
3,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,BO,ANDROID,1,0
4,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,BR,ANDROID,24,0
5,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CA,ANDROID,3,0
6,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CH,ANDROID,1,0
7,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CL,ANDROID,8,0
8,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CO,ANDROID,6,0
9,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CR,ANDROID,1,0
10,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,CZ,ANDROID,2,0
11,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,DE,ANDROID,12,0
12,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,ES,ANDROID,5,0
13,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,FR,ANDROID,2,0
14,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,GB,ANDROID,25,3
15,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,GB,IOS,1,0
16,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,GR,ANDROID,2,0
17,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,HU,ANDROID,5,0
18,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,IE,ANDROID,3,0
19,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,IL,ANDROID,2,0
20,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,IT,ANDROID,12,0
21,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,LV,ANDROID,1,0
22,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,MX,ANDROID,10,1
23,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,MY,ANDROID,2,0
24,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,NL,ANDROID,8,0
