,campaignId,eventname,events,earliest_date,latest_date
0,+EK2Gt+EHdF0fjvLGb+liyI2Huw/qXqbh3ssilVs77M=,adjustAttribution,194,2006-02-13,2006-02-27
1,2DxA+kdPcF1FRg6Hju5z/+WR6VEypTysZYWTGwvqtFU=,adjustAttribution,94,2006-01-31,2006-03-01
2,4EPzfhaYBdO1groLb/JBb6j0OAV2bqxyn8fUBBeZ6HM=,adjustAttribution,215,2006-01-31,2006-02-21
3,56J1YcgV3zjZLkZh98zqPUYnsBZwZSwT+bn0WvU9xD4=,adjustAttribution,678,2006-02-01,2006-03-02
4,5G8Oip9n5DnrUD+Y/Ysu7yfMN8KMa3VXM3Z3mxXt9MQ=,adjustAttribution,354,2006-01-31,2006-03-02
5,6aT8a/ioqg+bD7OEhSE7AhnjrRgh92sEvL1blDa1jEk=,adjustAttribution,790,2006-01-31,2006-03-01
6,8DTtesGlHX+thch2jZIocoW7tTfs6qnyBo5HmBOyV2M=,adjustAttribution,154,2006-01-31,2006-02-15
7,8FYEiJzMlMXNOADPnwa1A+oQrvEWDTz0E154yTQiUyI=,adjustAttribution,2,2006-02-10,2006-02-13
8,9SSE6PhEyT61Gjy+aUHTaAjMf+kxm9o9E4bY/lKEiS0=,adjustAttribution,645,2006-02-01,2006-03-02
9,9VmE9GnbpF+jnmBOwSicdMKDBge4U3HGLEFC4DJ3bsI=,adjustAttribution,282,2006-02-01,2006-03-02
10,9s5vVew1HvRvFU+l8FHarl/rh1WBtudlUUe+K5CuudM=,adjustAttribution,1784,2006-02-01,2006-03-02
11,AAAE1dpTYQH//cPwEbV5DAk3i8MjO00lZ9fec+Nvv6w=,adjustAttribution,1123,2006-01-31,2006-03-02
12,BFnQt9hLS5+pvwP3SJGEbeiPZHjxJaBrw2QapNpiorw=,adjustAttribution,258,2006-01-31,2006-02-18
13,CMwEjsNwn3FSA3JocyHCiYDpK/UGjMO1QABBteNYNtc=,adjustAttribution,21,2006-02-01,2006-02-16
14,CYB/ABKnt1sO6FmmaFMBiJ9dfky/mq91bU0vop1Mt00=,adjustAttribution,169,2006-01-31,2006-02-15
15,CoQdYhm/MCkxkNt1YOLl4fzkifuGrMAbW7Ub2aZpaPc=,adjustAttribution,466,2006-01-31,2006-03-02
16,DGu8Fff+iS3k3e7IMp2o3rWruCvYlLpz69ALK3Xgqpg=,adjustAttribution,1,2006-01-31,2006-01-31
17,DeMRwe4WY8jFxoh6tWiad0MY1n1CihcL7o2g85GhAVs=,adjustAttribution,378,2006-01-31,2006-03-02
18,EbVcsorl/TgbQs2VrbxYBhbbq4FK+m+Gu2Uvtw22tJs=,adjustAttribution,338,2006-01-31,2006-03-02
19,EmpE58lmgamWvEvGHsB8aYKs0n0uFE17Caeb2REgFUY=,adjustAttribution,228,2006-01-31,2006-02-15
20,EtK6Q1xqQX2MBrA/IozkvXcq3nO+pSl1vyQEzGR2Joc=,adjustAttribution,395,2006-01-31,2006-03-02
21,HPdkf36kyd2qu4TGzBQlgU9H/N1uADh3/Edpobyok84=,adjustAttribution,84,2006-02-26,2006-03-02
22,HTK6cLEoOhcquBqQPrrPGxZU188t9AljXOG+E5xHpK8=,adjustAttribution,502,2006-01-31,2006-03-02
23,I0KJURGUPr2XGGM09EI3478XYHBZqE9meIrWB+W3HiY=,adjustAttribution,198,2006-01-31,2006-03-02
24,Jq4ottr7mFI3nsrOqFzRtUkpegBYP3Mu2ZxKLzX8mGs=,adjustAttribution,478,2006-01-31,2006-03-02
25,Kp6jj75+REonZrk7TzOz9s+zGl5fHOejoVy6bCuvm6Q=,adjustAttribution,252,2006-01-31,2006-03-02
26,LT4zr0LeYf+EnVYlGR+cH77K+DbdzVQ+khP+I/mq3XI=,adjustAttribution,503,2006-01-31,2006-03-02
27,LZfdKIm7/g1wylHdXy+vaMcIPk4Iah/BHzt6w5VKNqo=,adjustAttribution,325,2006-01-31,2006-03-02
28,NcFcqVab7nKNl8KaJAfM+0q53qUNT6w5+MPd3zSnt38=,adjustAttribution,104,2006-02-02,2006-02-08
29,NddxMDYko3Wzt8NDAwpu8WhTavE9yCUqU4ymxhHJQw4=,adjustAttribution,4021,2006-01-31,2006-03-02
30,PF8/ejOTrFwKjG6lQNOaIkN4tr4LsSRigVtKQc7mJ5g=,adjustAttribution,1,2006-02-08,2006-02-08
31,Sd1VERhXEKJXEM+dQ921N7ZMft3Q4A5a0+VeQE7zQgY=,adjustAttribution,1709,2006-02-01,2006-03-02
32,TOH7kWlggiryGcUuf+zWho40Qm/aFh9UcvClDLrRcqA=,adjustAttribution,609,2006-01-31,2006-03-02
33,TSbM55gCoqJIdw2b8JB4kEAa2D7hzPfGKCWHAor+yVU=,adjustAttribution,57,2006-02-04,2006-03-02
34,VaKcsqkHcct5HjquoDwHxh4UpPJaqBu3qAdr4DbPVJw=,adjustAttribution,135,2006-02-04,2006-03-02
35,VobwcxBTDUbuy5fNIDBwFjP7eYklrIkXZX8rE2d435U=,adjustAttribution,102,2006-01-31,2006-02-23
36,W8kA44jwZhi4sjsBKd+pDsoB6/29a9roRn0mnf51RWo=,adjustAttribution,414,2006-01-31,2006-03-02
37,WOIeQXgbXj6TW1iBdXLBbh6Bh46YU6PP91Di9lCPkWg=,adjustAttribution,699,2006-01-31,2006-03-02
38,X5w3skxK9TAf+aZvgMYwkifR/NopWavLkyRU9v+7UAI=,adjustAttribution,512,2006-01-31,2006-02-24
39,Xe2bbSgzj/PVJ84Ac6b7q2/bUG4UvdHgm1HXRBrdd7s=,adjustAttribution,454,2006-01-31,2006-02-16
40,bkoo6P7YkIBSK0T6PW2WbfqaP0oO1ZE+s/uXil0oXxk=,adjustAttribution,1294,2006-01-31,2006-03-02
41,eKuUrW0kEFM+3b3XhG2eZPCZew0NDQ+AAgSwlJAhl4Y=,adjustAttribution,228,2006-01-31,2006-03-01
42,enbGH5VJyuCjvZUCAT7Dwv6wMuRxLB6wDsFA6/jXFYo=,adjustAttribution,374,2006-02-08,2006-03-02
43,hEGlW4qUviWTMfO/OCX+UPNqfxVzFfb2E0JVegONLaA=,adjustAttribution,318,2006-02-01,2006-03-02
44,hM5AEq/3tvYSl7g5wfCWUSBpaME7OmvOtuYTZY8mqlw=,adjustAttribution,128,2006-02-13,2006-02-28
45,iJ1G5fZRQgQ4s/2AwVjX3G7SWI++Xox09x5pwVxKSYY=,adjustAttribution,178,2006-01-31,2006-03-02
46,iQfCDAfcKyLCq7Ilvch2JUg7kfKJ2ul7SBh6ISkAwOw=,adjustAttribution,227,2006-01-31,2006-02-17
47,ijDG6/7V70JJBniXYaaMIwAxglLdcYleVsYSsk3jfqo=,adjustAttribution,2,2006-01-31,2006-01-31
48,kF8VlmwTIJ+qCdcECCHigNU+FJojILWhO8uZnm3/F4I=,adjustAttribution,115,2006-01-31,2006-02-20
49,mWbIld8FaygRbuehNguKguRpFn7NFtjf+kb8DUSK8Nc=,adjustAttribution,67,2006-02-01,2006-02-20
50,nBywH2jkXe6lchaCAy4Hyqq7DlI84tUpZ+YV+AOHth8=,adjustAttribution,151,2006-01-31,2006-03-02
51,rNAnZHpRH3zEjkGR7DVb9OpoJ1IBkuJ4MgDGEitCPxg=,adjustAttribution,788,2006-01-31,2006-03-02
52,sYhZWWxVmmJQXZf8imuVw7u5honpGuvvJIQ6v7gpM3g=,adjustAttribution,129,2006-01-31,2006-02-19
53,sbJAUyzplgJ3zpUt3HijfNz8W/xhF7B7FYEkMiO0uQA=,adjustAttribution,180,2006-01-31,2006-03-02
54,uBbOVAYbv4qp7eW4HVe/YxoO+cmSQPnBdqz8oFew8g4=,adjustAttribution,7,2006-02-08,2006-02-22
55,xHbDDDhZFvvGlWVVixbXYbh7Lk8o7d9Ym4zCLFeyh88=,adjustAttribution,287,2006-02-08,2006-03-02
56,ygu5n37UIjN8kNDMLeT5Q8jWeywDU/vKgDzSQeSecgs=,adjustAttribution,8,2006-02-04,2006-02-21
57,z/hmqVZMzfhkRTzoXhaWUpAv6XbZYNWmOM/Cx0T3exo=,adjustAttribution,135,2006-01-31,2006-02-19
58,zCAecEsqSDHBetnjTeA4Z7PNwENrUTBe7RnH1lQOMjA=,adjustAttribution,654,2006-01-31,2006-03-02
59,zjZcWwTvAF2Nn0qttSIbmYG8R/PFb8btEiIjc0XT7AE=,adjustAttribution,27,2006-02-26,2006-03-02
