,Level,Completions,Average Completion Time
0,2,104798,102.79617662150281
1,3,90706,159.70142464214229
2,4,144801,172.3407441082616
3,5,84039,184.23611439986325
4,6,87486,178.28133421015963
5,7,79169,140.60008895603073
6,8,112596,184.2476123377383
7,9,88823,200.61079302534174
8,10,72433,198.81132694089766
9,11,98746,153.80376774664387
10,12,97677,162.78306880146064
11,13,82997,193.57051080424648
12,14,55456,157.60939985808537
13,15,80196,194.32427371502203
14,16,66855,216.3085986846168
15,17,62582,149.52157726374847
16,18,45907,156.29184833424122
17,19,59742,219.3190581207507
18,20,62294,233.49233459706977
19,21,44894,105.24545423865149
20,22,49326,147.9906144970187
21,23,52037,215.87001235428787
22,24,52149,176.5082257640604
23,25,43298,255.30765077693948
24,26,50853,189.31633984308078
25,27,51106,228.29477107658744
26,28,46731,272.6066254687432
27,29,48743,201.1225668842683
28,30,45895,232.00515956291397
29,31,29951,102.58880052419013
30,32,32852,171.12330329355888
31,33,33913,241.05139349570933
32,34,35186,180.03152051441023
33,35,35081,148.02594959237305
34,36,30633,233.85976001109876
35,37,32911,152.76438346692552
36,38,28278,196.55993170839503
37,39,25888,218.85199269391214
38,40,25782,184.5877002203083
39,41,25836,216.1472073533067
40,42,26669,187.62815078218063
41,43,23052,123.39776739892477
42,44,26362,197.91667130680466
43,45,22871,173.1756666529656
44,46,25113,262.3342701592795
45,47,24718,236.6673550149684
46,48,24919,167.6913560203049
47,49,22245,247.5703696471113
48,50,20973,269.7590182138949
49,51,22375,139.16936792357572
50,52,19904,195.5452858807285
51,53,16941,233.451620949177
52,54,17913,299.82390483001217
53,55,17976,147.09624031764528
54,56,12995,297.57036328357015
55,57,14335,298.0513582595052
56,58,14829,177.30382319643945
57,59,13330,257.40850259714995
58,60,11783,228.7503875541033
59,61,10449,127.90012355823484
60,62,10622,186.49600405573338
61,63,11245,216.91060657803342
62,64,11151,175.63597269213463
63,65,10634,297.71591392420453
64,66,10458,211.63083581468715
65,67,9914,231.8372630623357
66,68,10087,222.3993930217118
67,69,10232,181.82683068217364
68,70,10116,260.8850560794795
69,71,10489,153.12755312994528
70,72,10179,179.4002799774046
71,73,10274,188.3840678382323
72,74,10058,256.6395618542459
73,75,9455,215.11175574933858
74,76,8389,324.7306596924544
75,77,8876,218.1501237685896
76,78,8852,209.2749752383642
77,79,8956,239.75122926194717
78,80,8316,366.2634160606047
79,81,8577,153.9058177766126
80,82,8451,177.35972924979296
81,83,7704,221.68142407061262
82,84,7967,191.09081228065824
83,85,7973,269.5122569547213
84,86,7825,217.0421317354628
85,87,8847,237.09214033231544
86,88,6882,228.2510132141818
87,89,7568,228.71172694503144
88,90,7380,293.87277286720877
89,91,6679,136.9117440814493
90,92,6724,219.9300606186792
91,93,6755,228.26159883937902
92,94,6499,238.22372018002775
93,95,5785,469.16621608297277
94,96,5892,278.50619327562816
95,97,5772,257.837936276853
96,98,5662,276.37890347580463
97,99,5499,184.12594993089672
98,100,5495,211.1003837725204
99,101,5496,213.11976181586616
100,102,5475,206.3967643579898
101,103,5444,329.01566527553274
102,104,5327,226.30309789937985
103,105,5184,294.9520072627311
104,106,4916,232.39224698128487
105,107,5157,268.02137528989687
106,108,5035,165.52842547964332
107,109,5013,422.56766882704915
108,110,4854,230.44814711372103
109,111,4862,226.53579840394912
110,112,4761,273.8178446439818
111,113,4604,283.3520654626409
112,114,4340,199.54321557373208
113,115,4561,259.8873731572023
114,116,4486,274.46977841952724
115,117,4389,289.72536885167455
116,118,4379,279.0840764900669
117,119,4178,207.49189063427445
118,120,4093,288.983985362814
119,121,3633,175.79572861271754
120,122,3907,184.09461899155366
121,123,3681,216.6710449470252
122,124,3582,215.27304253489672
123,125,3495,182.10841458941374
124,126,3631,219.26847571192542
125,127,3461,196.6761007165558
126,128,3594,276.62662476349425
127,129,3248,201.4264029094823
128,130,3317,321.91008033765553
129,131,3164,230.20124079646024
130,132,3126,321.0909777351243
131,133,3028,216.651738173712
132,134,2915,275.3232903327615
133,135,2538,288.286219109535
134,136,2594,311.5225493099459
135,137,2611,290.3304045461503
136,138,2449,284.01997179256904
137,139,2388,206.88920289782257
138,140,2359,262.3575150275543
139,141,2377,282.7588673958773
140,142,2262,188.10134738726813
141,143,2272,221.6077748635562
142,144,2177,208.78238188791912
143,145,2066,302.8788198063895
144,146,2210,294.50540691402676
145,147,2197,179.2522772781064
146,148,2189,250.18019648698024
147,149,2050,221.86755786341442
148,150,2110,253.8113932511853
149,151,1815,156.80754851239683
150,152,1831,270.9121175750961
151,153,1778,142.49833162542146
152,154,1837,170.665936831791
153,155,1839,205.63784863512765
154,156,1696,328.7412359551891
155,157,1763,210.97021363017558
156,158,1686,247.69898472123424
157,159,1620,300.5786280432098
158,160,1652,178.59437527845057
159,161,1606,197.266131631382
160,162,1641,219.03391352833603
161,163,1620,214.72860753703725
162,164,1604,202.5555391458851
163,165,1563,217.54161455534197
164,166,1476,128.4905278252034
165,167,1536,175.56576013020853
166,168,1482,208.31191633603186
167,169,1497,204.23614170340682
168,170,1558,217.4541923299103
169,171,1508,200.69962382626002
170,172,1489,189.19649172599065
171,173,1481,230.80104694800767
172,174,1338,282.4583887369207
173,175,1402,286.47540543509245
174,176,1345,158.65725042379188
175,177,1344,225.22736805059526
176,178,1342,329.0049423695974
177,179,1317,145.11662926347753
178,180,1385,200.18533872924206
179,181,1316,193.48531874620062
180,182,1238,165.5669830613893
181,183,1186,320.6909731703204
182,184,1123,227.24833211041897
183,185,1123,288.32894421193237
184,186,1138,273.8752769595785
185,187,1120,239.9436424642857
186,188,1180,126.07314599152546
187,189,1112,254.1212177428055
188,190,1022,225.43320805283767
189,191,1087,232.24756938362475
190,192,1062,161.87832516949143
191,193,1025,189.20764045853684
192,194,1033,156.60258485963212
193,195,994,141.17301772635813
194,196,1004,185.97645773904387
195,197,967,242.73551883143756
