,users,eventDate,device
0,5374,2006-01-31,ANDROID
1,7241,2006-02-01,ANDROID
2,7639,2006-02-02,ANDROID
3,8012,2006-02-03,ANDROID
4,7715,2006-02-04,ANDROID
5,7727,2006-02-05,ANDROID
6,7585,2006-02-06,ANDROID
7,7326,2006-02-07,ANDROID
8,6774,2006-02-08,ANDROID
9,6141,2006-02-09,ANDROID
10,6126,2006-02-10,ANDROID
11,6101,2006-02-11,ANDROID
12,6157,2006-02-12,ANDROID
13,6175,2006-02-13,ANDROID
14,6264,2006-02-14,ANDROID
15,6418,2006-02-15,ANDROID
16,6584,2006-02-16,ANDROID
17,6768,2006-02-17,ANDROID
18,6826,2006-02-18,ANDROID
19,6888,2006-02-19,ANDROID
20,7097,2006-02-20,ANDROID
21,7313,2006-02-21,ANDROID
22,7415,2006-02-22,ANDROID
23,7432,2006-02-23,ANDROID
24,7805,2006-02-24,ANDROID
25,7894,2006-02-25,ANDROID
26,8126,2006-02-26,ANDROID
27,8224,2006-02-27,ANDROID
28,8449,2006-02-28,ANDROID
29,8498,2006-03-01,ANDROID
30,8583,2006-03-02,ANDROID
31,106,2006-01-31,FIREOS
32,295,2006-02-01,FIREOS
33,538,2006-02-02,FIREOS
34,695,2006-02-03,FIREOS
35,810,2006-02-04,FIREOS
36,914,2006-02-05,FIREOS
37,978,2006-02-06,FIREOS
38,1071,2006-02-07,FIREOS
39,1041,2006-02-08,FIREOS
40,823,2006-02-09,FIREOS
41,740,2006-02-10,FIREOS
42,664,2006-02-11,FIREOS
43,611,2006-02-12,FIREOS
44,605,2006-02-13,FIREOS
45,592,2006-02-14,FIREOS
46,566,2006-02-15,FIREOS
47,554,2006-02-16,FIREOS
48,552,2006-02-17,FIREOS
49,514,2006-02-18,FIREOS
50,505,2006-02-19,FIREOS
51,511,2006-02-20,FIREOS
52,493,2006-02-21,FIREOS
53,510,2006-02-22,FIREOS
54,476,2006-02-23,FIREOS
55,516,2006-02-24,FIREOS
56,480,2006-02-25,FIREOS
57,485,2006-02-26,FIREOS
58,485,2006-02-27,FIREOS
59,468,2006-02-28,FIREOS
60,460,2006-03-01,FIREOS
61,469,2006-03-02,FIREOS
62,4064,2006-01-31,IOS
63,9265,2006-02-01,IOS
64,12120,2006-02-02,IOS
65,13848,2006-02-03,IOS
66,13541,2006-02-04,IOS
67,13994,2006-02-05,IOS
68,14087,2006-02-06,IOS
69,13716,2006-02-07,IOS
70,11243,2006-02-08,IOS
71,9500,2006-02-09,IOS
72,9130,2006-02-10,IOS
73,8665,2006-02-11,IOS
74,8499,2006-02-12,IOS
75,8380,2006-02-13,IOS
76,8457,2006-02-14,IOS
77,8439,2006-02-15,IOS
78,8522,2006-02-16,IOS
79,8595,2006-02-17,IOS
80,8410,2006-02-18,IOS
81,8474,2006-02-19,IOS
82,8480,2006-02-20,IOS
83,8502,2006-02-21,IOS
84,8514,2006-02-22,IOS
85,8486,2006-02-23,IOS
86,8711,2006-02-24,IOS
87,8623,2006-02-25,IOS
88,8745,2006-02-26,IOS
89,8798,2006-02-27,IOS
90,8797,2006-02-28,IOS
91,8702,2006-03-01,IOS
92,8661,2006-03-02,IOS
93,740,2006-01-31,WEBGL
94,1029,2006-02-01,WEBGL
95,975,2006-02-02,WEBGL
96,1368,2006-02-03,WEBGL
97,1524,2006-02-04,WEBGL
98,1516,2006-02-05,WEBGL
99,1448,2006-02-06,WEBGL
100,1597,2006-02-07,WEBGL
101,1579,2006-02-08,WEBGL
102,1410,2006-02-09,WEBGL
103,1289,2006-02-10,WEBGL
104,1449,2006-02-11,WEBGL
105,1575,2006-02-12,WEBGL
106,1373,2006-02-13,WEBGL
107,1368,2006-02-14,WEBGL
108,1341,2006-02-15,WEBGL
109,1289,2006-02-16,WEBGL
110,1346,2006-02-17,WEBGL
111,1510,2006-02-18,WEBGL
112,1408,2006-02-19,WEBGL
113,1335,2006-02-20,WEBGL
114,1488,2006-02-21,WEBGL
115,1382,2006-02-22,WEBGL
116,1223,2006-02-23,WEBGL
117,1348,2006-02-24,WEBGL
118,1386,2006-02-25,WEBGL
119,703,2006-02-26,WEBGL
120,542,2006-02-27,WEBGL
121,558,2006-02-28,WEBGL
122,522,2006-03-01,WEBGL
123,528,2006-03-02,WEBGL
