,day_zero,day_zero_users,day_one_users,day_seven_users,day_fourteen_users,day_twentyone_users,day_twentyeight_users
0,2006-01-31,10277,6329,3255,2435,2153,2046
1,2006-02-01,11442,5909,2595,1894,1680,1563
2,2006-02-02,10144,4898,1919,1495,1306,1236
3,2006-02-03,9792,4379,1800,1396,1277,0
4,2006-02-04,7798,3484,1349,1073,922,0
5,2006-02-05,7107,3065,1259,1000,865,0
6,2006-02-06,6492,2734,1098,817,697,0
7,2006-02-07,5888,2393,1041,805,736,0
8,2006-02-08,2905,1124,684,567,504,0
9,2006-02-09,1884,866,590,509,470,0
10,2006-02-10,1657,793,579,511,0,0
11,2006-02-11,1569,682,467,392,0,0
12,2006-02-12,1569,650,410,359,0,0
13,2006-02-13,1418,622,457,367,0,0
14,2006-02-14,1414,605,450,392,0,0
15,2006-02-15,1592,748,547,502,0,0
16,2006-02-16,1710,865,629,511,0,0
17,2006-02-17,1531,684,514,0,0,0
18,2006-02-18,1501,582,429,0,0,0
19,2006-02-19,1407,605,416,0,0,0
20,2006-02-20,1300,565,380,0,0,0
21,2006-02-21,1524,622,447,0,0,0
22,2006-02-22,1408,547,408,0,0,0
23,2006-02-23,1425,641,433,0,0,0
24,2006-02-24,1531,641,0,0,0,0
25,2006-02-25,1433,524,0,0,0,0
26,2006-02-26,899,539,0,0,0,0
27,2006-02-27,823,576,0,0,0,0
28,2006-02-28,715,495,0,0,0,0
29,2006-03-01,669,453,0,0,0,0
30,2006-03-02,766,0,0,0,0,0
