,day_zero,day_zero_users,day_one_users,day_seven_users,day_fourteen_users,day_twentyone_users,day_twentyeight_users
0,2006-01-31,5373,3531,1811,1323,1124,1075
1,2006-02-01,7205,4870,2511,1892,1758,1627
2,2006-02-02,7618,5162,2756,2244,2021,1908
3,2006-02-03,7978,5380,3127,2616,2408,0
4,2006-02-04,7700,5419,3252,2758,2545,0
5,2006-02-05,7704,5418,3485,2990,2799,0
6,2006-02-06,7574,5294,3517,3095,2848,0
7,2006-02-07,7297,5002,3631,3174,2964,0
8,2006-02-08,6752,4610,3606,3229,2989,0
9,2006-02-09,6124,4511,3590,3251,3034,0
10,2006-02-10,6114,4561,3788,3480,0,0
11,2006-02-11,6077,4761,3909,3569,0,0
12,2006-02-12,6149,4838,4017,3733,0,0
13,2006-02-13,6163,4895,4186,3791,0,0
14,2006-02-14,6245,4857,4255,3914,0,0
15,2006-02-15,6399,4874,4356,4009,0,0
16,2006-02-16,6558,5129,4395,4043,0,0
17,2006-02-17,6748,5237,4629,0,0,0
18,2006-02-18,6794,5395,4715,0,0,0
19,2006-02-19,6870,5581,4832,0,0,0
20,2006-02-20,7083,5666,4952,0,0,0
21,2006-02-21,7289,5754,5081,0,0,0
22,2006-02-22,7393,5672,5155,0,0,0
23,2006-02-23,7416,5835,5055,0,0,0
24,2006-02-24,7788,6045,0,0,0,0
25,2006-02-25,7866,6283,0,0,0,0
26,2006-02-26,8105,6417,0,0,0,0
27,2006-02-27,8203,6610,0,0,0,0
28,2006-02-28,8435,6727,0,0,0,0
29,2006-03-01,8482,6593,0,0,0,0
30,2006-03-02,8546,0,0,0,0,0
