,day_zero,day_zero_users,day_one_users,day_seven_users,day_fourteen_users,day_twentyone_users,day_twentyeight_users
0,2006-01-31,4064,2498,1307,1023,950,917
1,2006-02-01,9238,5097,2450,1925,1740,1630
2,2006-02-02,12087,6714,3129,2542,2276,2214
3,2006-02-03,13817,7413,3817,3174,2819,0
4,2006-02-04,13494,7800,4059,3414,3136,0
5,2006-02-05,13960,8098,4504,3822,3493,0
6,2006-02-06,14051,8094,4803,4099,3819,0
7,2006-02-07,13679,7889,5116,4341,4081,0
8,2006-02-08,11210,6774,5158,4449,4149,0
9,2006-02-09,9476,6460,5006,4435,4161,0
10,2006-02-10,9113,6329,5172,4617,0,0
11,2006-02-11,8650,6299,5141,4611,0,0
12,2006-02-12,8477,6183,5174,4719,0,0
13,2006-02-13,8361,6191,5225,4768,0,0
14,2006-02-14,8431,6156,5244,4901,0,0
15,2006-02-15,8419,6042,5262,4877,0,0
16,2006-02-16,8506,6227,5303,4945,0,0
17,2006-02-17,8578,6166,5500,0,0,0
18,2006-02-18,8381,6246,5443,0,0,0
19,2006-02-19,8456,6384,5623,0,0,0
20,2006-02-20,8467,6361,5636,0,0,0
21,2006-02-21,8486,6377,5730,0,0,0
22,2006-02-22,8498,6207,5689,0,0,0
23,2006-02-23,8471,6329,5633,0,0,0
24,2006-02-24,8692,6419,0,0,0,0
25,2006-02-25,8602,6540,0,0,0,0
26,2006-02-26,8730,6623,0,0,0,0
27,2006-02-27,8780,6659,0,0,0,0
28,2006-02-28,8784,6624,0,0,0,0
29,2006-03-01,8680,6513,0,0,0,0
30,2006-03-02,8642,0,0,0,0,0
