,day_zero,day_zero_users,day_one_users,day_seven_users,day_fourteen_users,day_twentyone_users,day_twentyeight_users
0,2006-01-31,10283,6333,3255,2438,2154,2048
1,2006-02-01,17735,10383,5193,3981,3617,3346
2,2006-02-02,21202,12475,6160,4977,4440,4239
3,2006-02-03,23838,13608,7348,6058,5441,0
4,2006-02-04,23492,14191,7765,6479,5913,0
5,2006-02-05,24067,14515,8527,7164,6551,0
6,2006-02-06,24018,14443,8856,7568,6946,0
7,2006-02-07,23611,14070,9350,7921,7342,0
8,2006-02-08,20548,12429,9386,8130,7461,0
9,2006-02-09,17791,11935,9160,8081,7529,0
10,2006-02-10,17224,11760,9536,8534,0,0
11,2006-02-11,16810,11961,9591,8569,0,0
12,2006-02-12,16787,11922,9739,8840,0,0
13,2006-02-13,16476,11955,9958,8965,0,0
14,2006-02-14,16610,11845,10070,9231,0,0
15,2006-02-15,16704,11679,10173,9296,0,0
16,2006-02-16,16874,12156,10195,9407,0,0
17,2006-02-17,17200,12155,10693,0,0,0
18,2006-02-18,17159,12449,10701,0,0,0
19,2006-02-19,17214,12771,10954,0,0,0
20,2006-02-20,17376,12827,11111,0,0,0
21,2006-02-21,17731,12927,11335,0,0,0
22,2006-02-22,17752,12598,11372,0,0,0
23,2006-02-23,17567,12875,11187,0,0,0
24,2006-02-24,18320,13135,0,0,0,0
25,2006-02-25,18305,13488,0,0,0,0
26,2006-02-26,17994,13704,0,0,0,0
27,2006-02-27,18002,13945,0,0,0,0
28,2006-02-28,18235,14012,0,0,0,0
29,2006-03-01,18136,13714,0,0,0,0
30,2006-03-02,18172,0,0,0,0,0
