,sum,usercountry
0,13,AE
1,2,AR
2,133,AT
3,737,AU
4,77,BE
5,1,BG
6,2,BO
7,1,BQ
8,83,BR
9,432,CA
10,256,CH
11,33,CL
12,25,CN
13,3,CO
14,57,CR
15,20,CY
16,60,CZ
17,1591,DE
18,99,DK
19,1,EC
20,3,EE
21,47,ES
22,86,FI
23,274,FR
24,2502,GB
25,18,GR
26,4,GT
27,6,HK
28,14,HR
29,23,HU
30,43,IE
31,14,IL
32,2,IN
33,3,IS
34,163,IT
35,1,JE
36,31,JP
37,5,KR
38,16,KW
39,3,LU
40,15,LV
41,1,MO
42,94,MX
43,7,MY
44,113,NL
45,152,NO
46,222,NZ
47,1,OM
48,1,PA
49,13,PE
50,163,PL
51,4,PR
52,8,PT
53,1,PY
54,100,QA
55,4,RO
56,1,RS
57,67,RU
58,4,SA
59,1,SC
60,235,SE
61,19,SG
62,6,SI
63,1,SK
64,2,TN
65,31,TR
66,3,TT
67,45,TW
68,1,UA
69,7229,US
70,1,VU
71,8,ZA
